Arc_ID,max_groundwater_recharge
1,450.0
2,450.0
3,450.0
4,450.0
5,450.0
6,450.0
7,450.0
8,450.0
9,300.0
10,300.0
11,300.0
12,300.0
13,300.0
14,300.0
15,300.0
16,300.0
17,300.0
18,300.0
19,300.0
20,450.0
21,450.0
22,450.0
23,450.0
24,450.0
25,450.0
26,450.0
27,450.0
28,450.0
29,450.0
30,450.0
31,450.0
32,450.0
33,450.0
34,450.0
35,450.0
36,450.0
37,450.0
38,450.0
39,450.0
40,450.0
41,450.0
42,450.0
43,450.0
44,450.0
45,450.0
46,450.0
47,450.0
48,300.0
49,300.0
50,300.0
51,300.0
52,300.0
53,300.0
54,300.0
55,300.0
56,300.0
57,300.0
58,300.0
59,300.0
60,300.0
61,300.0
62,300.0
63,300.0
64,300.0
65,300.0
66,300.0
67,300.0
68,300.0
69,300.0
70,450.0
71,450.0
72,450.0
73,450.0
74,450.0
75,450.0
76,450.0
77,450.0
78,450.0
79,450.0
80,450.0
81,450.0
82,450.0
83,450.0
84,450.0
85,450.0
86,450.0
87,450.0
88,450.0
89,450.0
90,450.0
91,450.0
92,450.0
93,450.0
94,450.0
95,450.0
96,450.0
97,450.0
98,450.0
99,450.0
100,450.0
101,450.0
102,450.0
103,450.0
104,450.0
105,450.0
106,450.0
107,450.0
108,450.0
109,300.0
110,450.0
111,450.0
112,450.0
113,450.0
114,450.0
115,450.0
116,450.0
117,450.0
118,450.0
119,450.0
120,450.0
121,450.0
122,450.0
123,450.0
124,450.0
125,450.0
126,450.0
127,450.0
128,450.0
129,300.0
130,300.0
131,300.0
132,300.0
133,300.0
134,300.0
135,300.0
136,300.0
137,300.0
138,300.0
139,300.0
140,300.0
141,300.0
142,300.0
143,300.0
144,300.0
145,300.0
146,300.0
147,300.0
148,300.0
149,300.0
150,300.0
151,300.0
152,300.0
153,300.0
154,300.0
155,300.0
156,300.0
157,300.0
158,300.0
159,300.0
160,300.0
161,300.0
162,300.0
163,300.0
164,300.0
165,300.0
166,300.0
167,300.0
168,450.0
169,450.0
170,450.0
171,450.0
172,450.0
173,450.0
174,450.0
175,450.0
176,450.0
177,450.0
178,450.0
179,450.0
180,450.0
181,450.0
182,450.0
183,450.0
184,450.0
185,450.0
186,450.0
187,450.0
188,450.0
189,450.0
190,450.0
191,450.0
192,450.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,450.0
207,450.0
208,450.0
209,450.0
210,450.0
211,450.0
212,450.0
213,450.0
214,450.0
215,450.0
216,450.0
217,450.0
218,450.0
219,450.0
220,450.0
221,450.0
222,450.0
223,450.0
224,450.0
225,450.0
226,450.0
227,450.0
228,450.0
229,450.0
230,450.0
231,450.0
232,450.0
233,450.0
234,450.0
235,450.0
236,450.0
237,450.0
238,450.0
239,450.0
240,450.0
241,450.0
242,450.0
243,450.0
244,450.0
245,450.0
246,450.0
247,450.0
248,450.0
249,450.0
250,450.0
251,450.0
252,450.0
253,450.0
254,300.0
255,300.0
256,300.0
257,300.0
258,300.0
259,300.0
260,300.0
261,300.0
262,300.0
263,300.0
264,300.0
265,300.0
266,300.0
267,300.0
268,300.0
269,300.0
270,300.0
271,300.0
272,300.0
273,300.0
274,300.0
275,300.0
276,300.0
277,300.0
278,300.0
279,300.0
280,300.0
281,300.0
282,300.0
283,300.0
284,300.0
285,300.0
286,300.0
287,300.0
288,300.0
289,300.0
290,300.0
291,300.0
292,300.0
293,300.0
294,300.0
295,300.0
296,300.0
297,300.0
298,300.0
299,300.0
300,300.0
301,300.0
302,300.0
303,450.0
304,450.0
305,450.0
306,450.0
307,450.0
308,450.0
309,450.0
310,450.0
311,450.0
312,450.0
313,450.0
314,450.0
315,450.0
316,450.0
317,450.0
318,450.0
319,450.0
320,450.0
321,450.0
322,450.0
323,450.0
324,450.0
325,450.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,450.0
333,450.0
334,450.0
335,450.0
336,450.0
337,450.0
338,450.0
339,450.0
340,450.0
341,450.0
342,450.0
343,450.0
344,450.0
345,450.0
346,450.0
347,450.0
348,450.0
349,450.0
350,450.0
351,450.0
352,450.0
353,450.0
354,450.0
355,450.0
356,450.0
357,450.0
358,450.0
359,450.0
360,450.0
361,450.0
362,450.0
363,450.0
364,450.0
365,450.0
366,450.0
367,450.0
368,450.0
369,450.0
370,450.0
371,450.0
372,450.0
373,450.0
374,450.0
375,450.0
376,450.0
377,450.0
378,450.0
379,450.0
380,450.0
381,450.0
382,450.0
383,450.0
384,450.0
385,450.0
386,450.0
387,450.0
388,450.0
389,450.0
390,450.0
391,300.0
392,300.0
393,300.0
394,300.0
395,300.0
396,300.0
397,300.0
398,300.0
399,300.0
400,300.0
401,300.0
402,300.0
403,300.0
404,300.0
405,300.0
406,300.0
407,300.0
408,300.0
409,300.0
410,300.0
411,300.0
412,300.0
413,300.0
414,300.0
415,300.0
416,300.0
417,300.0
418,300.0
419,300.0
420,300.0
421,300.0
422,300.0
423,300.0
424,300.0
425,300.0
426,300.0
427,300.0
428,300.0
429,300.0
430,300.0
431,300.0
432,300.0
433,300.0
434,300.0
435,300.0
436,300.0
437,300.0
438,300.0
439,300.0
440,300.0
441,300.0
442,300.0
443,300.0
444,300.0
445,300.0
446,300.0
447,300.0
448,300.0
449,300.0
450,300.0
451,300.0
452,300.0
453,300.0
454,300.0
455,300.0
456,300.0
457,300.0
458,300.0
459,300.0
460,300.0
461,300.0
462,300.0
463,450.0
464,450.0
465,450.0
466,450.0
467,450.0
468,450.0
469,450.0
470,450.0
471,450.0
472,450.0
473,450.0
474,450.0
475,450.0
476,450.0
477,450.0
478,450.0
479,450.0
480,450.0
481,450.0
482,450.0
483,450.0
484,450.0
485,450.0
486,450.0
487,450.0
488,450.0
489,450.0
490,450.0
491,450.0
492,450.0
493,450.0
494,450.0
495,450.0
496,450.0
497,450.0
498,450.0
499,450.0
500,450.0
501,450.0
502,450.0
503,450.0
504,450.0
505,450.0
506,450.0
507,450.0
508,450.0
509,450.0
510,450.0
511,450.0
512,450.0
513,450.0
514,450.0
515,450.0
516,450.0
517,450.0
518,450.0
519,450.0
520,450.0
521,450.0
522,450.0
523,450.0
524,450.0
525,450.0
526,450.0
527,450.0
528,450.0
529,450.0
530,450.0
531,450.0
532,450.0
533,450.0
534,450.0
535,450.0
536,450.0
537,450.0
538,450.0
539,450.0
540,450.0
541,450.0
542,450.0
543,450.0
544,450.0
545,450.0
546,450.0
547,450.0
548,450.0
549,450.0
550,450.0
551,450.0
552,450.0
553,450.0
554,450.0
555,450.0
556,450.0
557,450.0
558,450.0
559,300.0
560,300.0
561,300.0
562,300.0
563,300.0
564,300.0
565,300.0
566,300.0
567,300.0
568,300.0
569,300.0
570,300.0
571,300.0
572,300.0
573,300.0
574,300.0
575,300.0
576,300.0
577,300.0
578,300.0
579,300.0
580,300.0
581,300.0
582,300.0
583,300.0
584,300.0
585,300.0
586,300.0
587,300.0
588,300.0
589,300.0
590,300.0
591,300.0
592,300.0
593,300.0
594,300.0
595,300.0
596,300.0
597,300.0
598,300.0
599,300.0
600,300.0
601,300.0
602,300.0
603,300.0
604,300.0
605,300.0
606,300.0
607,300.0
608,300.0
609,300.0
610,300.0
611,300.0
612,300.0
613,300.0
614,300.0
615,300.0
616,300.0
617,300.0
618,300.0
619,300.0
620,300.0
621,300.0
622,300.0
623,300.0
624,300.0
625,300.0
626,300.0
627,300.0
628,300.0
629,300.0
